task_ref,family_id,proof_family,property_class,difficulty,claude-opus-4-8,grok,kimi/kimi-for-coding,minimax/minimax-m3,mistralai/Leanstral-2603,openai-gpt-55,openai-gpt-55-pro,virtuals/deepseek-v4-flash,virtuals/deepseek-v4-pro,virtuals/xiaomi-mimo-v2-5,xai/grok-4.3,zai/glm-5.2,attempts,passes,pass_rate,cohort_pass_rate,divisiveness,mean_total_tokens
zama/erc7984_confidential_token/burn_insufficient,zama,functional_correctness,silent_failure,medium,fail,fail,fail,fail,fail,fail,,fail,fail,fail,fail,fail,11,0,0.0,0.0,0.0,794945.5
zama/erc7984_confidential_token/mint_ctokens_match_deposit,zama,functional_correctness,deposit_mint_exactness,easy,fail,fail,fail,fail,fail,pass,,fail,fail,fail,fail,fail,11,1,0.0909,0.1,0.2,663269.3
zama/erc7984_confidential_token/mint_increases_supply,zama,functional_correctness,supply_update,medium,fail,pass,fail,fail,fail,fail,,fail,fail,fail,fail,fail,11,1,0.0909,0.1,0.2,727240.7
zama/erc7984_confidential_token/mint_overflow_protection,zama,functional_correctness,overflow_safety,medium,fail,fail,fail,fail,fail,fail,,fail,fail,fail,fail,fail,11,0,0.0,0.0,0.0,680422.1
zama/erc7984_confidential_token/setOperator_updates,zama,functional_correctness,storage_write,easy,pass,pass,fail,pass,fail,pass,,pass,fail,fail,fail,pass,11,6,0.5455,0.6,0.8,402700.3
zama/erc7984_confidential_token/transferFrom_conservation,zama,state_preservation_local_effects,balance_conservation,medium,fail,fail,fail,fail,fail,fail,,fail,fail,fail,fail,fail,11,0,0.0,0.0,0.0,616522.5
zama/erc7984_confidential_token/transfer_conservation,zama,state_preservation_local_effects,balance_conservation,medium,fail,fail,fail,fail,fail,fail,,fail,,fail,fail,fail,10,0,0.0,0.0,0.0,666283.4
zama/erc7984_confidential_token/transfer_insufficient,zama,functional_correctness,silent_failure,medium,fail,fail,fail,fail,fail,fail,,fail,,fail,fail,fail,10,0,0.0,0.0,0.0,967898.3
zama/erc7984_confidential_token/transfer_no_balance_revert,zama,protocol_transition_correctness,non_leakage,medium,pass,fail,fail,pass,fail,fail,,fail,,fail,fail,fail,10,2,0.2,0.2,0.4,641048.1
zama/erc7984_confidential_token/transfer_preserves_supply,zama,state_preservation_local_effects,supply_invariance,easy,fail,fail,fail,fail,fail,pass,,fail,,fail,fail,fail,10,1,0.1,0.1,0.2,638087.2
zama/erc7984_confidential_token/transfer_sufficient,zama,functional_correctness,balance_update,medium,fail,fail,fail,fail,fail,fail,,fail,,fail,fail,fail,10,0,0.0,0.0,0.0,944271.5
zodiac/roles_decoder_faithfulness/metadata_bridge,zodiac,refinement_equivalence,calldata_decoder_metadata,hard,fail,fail,fail,fail,fail,fail,,fail,,fail,fail,fail,10,0,0.0,0.0,0.0,604200.1
zodiac/roles_decoder_faithfulness/roles_decoder_bounds_safe,zodiac,authorization_enablement,calldata_decoder_bounds,hard,fail,fail,fail,fail,fail,fail,,fail,,fail,fail,fail,10,0,0.0,0.0,0.0,694952.8
zodiac/roles_decoder_faithfulness/roles_decoder_faithful,zodiac,refinement_equivalence,calldata_decoder_faithfulness,hard,fail,fail,fail,fail,fail,fail,,fail,,fail,fail,fail,10,0,0.0,0.0,0.0,639109
