task_ref,family_id,proof_family,property_class,difficulty,claude-opus-4-8,grok,kimi/kimi-for-coding,minimax/minimax-m3,mistralai/Leanstral-2603,openai-gpt-55,openai-gpt-55-pro,virtuals/deepseek-v4-flash,virtuals/deepseek-v4-pro,virtuals/xiaomi-mimo-v2-5,xai/grok-4.3,zai/glm-5.2,attempts,passes,pass_rate,cohort_pass_rate,divisiveness,mean_total_tokens
kleros/sortition_trees/draw_interval_matches_weights,kleros,functional_correctness,weighted_selection,hard,fail,pass,pass,pass,fail,pass,fail,fail,fail,fail,fail,pass,12,5,0.4167,0.5,1.0,404298.8
kleros/sortition_trees/draw_selects_valid_leaf,kleros,functional_correctness,output_range,medium,fail,pass,fail,fail,fail,pass,fail,fail,fail,fail,pass,pass,12,4,0.3333,0.4,0.8,457789.1
kleros/sortition_trees/node_id_bijection,kleros,state_preservation_local_effects,mapping_consistency,medium,pass,pass,pass,fail,fail,pass,pass,pass,pass,fail,fail,pass,12,8,0.6667,0.6,0.8,420438.2
kleros/sortition_trees/parent_equals_sum_of_children,kleros,state_preservation_local_effects,tree_conservation,medium,pass,fail,fail,fail,fail,pass,pass,pass,fail,fail,fail,pass,12,5,0.4167,0.4,0.8,411847.5
kleros/sortition_trees/root_equals_sum_of_leaves,kleros,refinement_equivalence,total_conservation,medium,pass,fail,pass,pass,fail,pass,pass,pass,pass,fail,pass,pass,12,9,0.75,0.7,0.6,460535
kleros/sortition_trees/root_minus_left_equals_right_subtree,kleros,refinement_equivalence,subtree_partition,medium,fail,fail,fail,fail,fail,pass,pass,fail,fail,fail,fail,fail,12,2,0.1667,0.1,0.2,588914.2
lagoon/guardrails/exact_compliance,lagoon,functional_correctness,compliance_boundary,medium,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,12,0,0.0,0.0,0.0,331250.7
lagoon/guardrails/negative_variation_bounded,lagoon,functional_correctness,compliance_boundary,easy,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,12,0,0.0,0.0,0.0,287910.2
lagoon/guardrails/positive_variation_bounded,lagoon,functional_correctness,compliance_boundary,easy,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,12,0,0.0,0.0,0.0,561044.9
lido/vaulthub_locked/ceildiv_sandwich,lido,functional_correctness,accounting_bound,medium,pass,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,12,1,0.0833,0.1,0.2,630110.1
lido/vaulthub_locked/locked_funds_solvency,lido,functional_correctness,accounting_bound,hard,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,12,0,0.0,0.0,0.0,759970.2
lido/vaulthub_locked/max_liability_shares_bound,lido,state_preservation_local_effects,accounting_bound,easy,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,12,12,1.0,1.0,0.0,67277.9
lido/vaulthub_locked/reserve_ratio_bounds,lido,state_preservation_local_effects,accounting_bound,easy,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,12,12,1.0,1.0,0.0,29599.3
lido/vaulthub_locked/shares_conversion_monotone,lido,functional_correctness,accounting_bound,medium,pass,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,12,1,0.0833,0.1,0.2,660895.7
nexus_mutual/ramm_price_band/sync_sets_book_value,nexus_mutual,functional_correctness,price_computation,easy,pass,fail,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,12,11,0.9167,0.9,0.2,190998
nexus_mutual/ramm_price_band/sync_sets_buy_price,nexus_mutual,functional_correctness,price_computation,medium,pass,pass,fail,pass,fail,pass,pass,pass,pass,fail,fail,pass,12,8,0.6667,0.6,0.8,404081
nexus_mutual/ramm_price_band/sync_sets_capital,nexus_mutual,state_preservation_local_effects,storage_write,easy,pass,pass,pass,pass,fail,pass,pass,pass,fail,pass,pass,pass,12,10,0.8333,0.9,0.2,258167
nexus_mutual/ramm_price_band/sync_sets_sell_price,nexus_mutual,functional_correctness,price_computation,medium,pass,pass,fail,pass,fail,pass,pass,pass,pass,fail,pass,pass,12,9,0.75,0.7,0.6,183997.5
onedelta/caller_address_integrity/delta_compose_internal_erc20_transfer_from_uses_outer_caller,onedelta,authorization_enablement,access_control_identity,medium,pass,pass,pass,fail,fail,pass,pass,pass,pass,fail,pass,pass,12,9,0.75,0.7,0.6,347805.3
onedelta/caller_address_integrity/delta_compose_internal_permit2_transfer_from_uses_outer_caller,onedelta,authorization_enablement,access_control_identity,medium,pass,fail,fail,pass,fail,pass,pass,fail,pass,pass,pass,pass,12,8,0.6667,0.6,0.8,501064.3
onedelta/caller_address_integrity/direct_erc20_transfer_from_uses_outer_caller,onedelta,authorization_enablement,access_control_identity,medium,pass,pass,pass,pass,fail,pass,pass,fail,fail,fail,pass,pass,12,8,0.6667,0.7,0.6,399735.8
onedelta/caller_address_integrity/direct_permit2_transfer_from_uses_outer_caller,onedelta,authorization_enablement,access_control_identity,medium,pass,pass,fail,pass,pass,pass,pass,pass,pass,fail,fail,pass,12,9,0.75,0.7,0.6,333252.3
onedelta/caller_address_integrity/flash_callback_erc20_transfer_from_uses_outer_caller,onedelta,authorization_enablement,access_control_identity,medium,pass,pass,pass,pass,fail,pass,fail,pass,pass,fail,fail,pass,12,8,0.6667,0.7,0.6,288455.9
onedelta/caller_address_integrity/nested_flash_and_swap_callbacks_keep_outer_caller,onedelta,authorization_enablement,access_control_identity,medium,pass,pass,pass,pass,fail,pass,pass,pass,pass,fail,fail,pass,12,9,0.75,0.7,0.6,374428.1
onedelta/caller_address_integrity/swap_callback_permit2_transfer_from_uses_outer_caller,onedelta,authorization_enablement,access_control_identity,medium,pass,pass,fail,fail,fail,pass,pass,pass,pass,fail,pass,pass,12,8,0.6667,0.6,0.8,443287.3
onedelta/caller_address_integrity/transfers_erc20_transfer_from_uses_outer_caller,onedelta,authorization_enablement,access_control_identity,medium,pass,pass,fail,pass,fail,pass,pass,pass,pass,pass,fail,pass,12,9,0.75,0.7,0.6,375390.8
onedelta/caller_address_integrity/transfers_permit2_transfer_from_uses_outer_caller,onedelta,authorization_enablement,access_control_identity,medium,pass,pass,fail,pass,fail,pass,pass,pass,pass,fail,fail,pass,12,8,0.6667,0.6,0.8,234605.8
onedelta/caller_address_integrity/v3_callback_direct_transfer_from_uses_outer_caller,onedelta,authorization_enablement,access_control_identity,medium,pass,pass,pass,pass,fail,pass,pass,pass,pass,fail,fail,pass,12,9,0.75,0.7,0.6,458896.8
paladin_votes/stream_recovery_claim_usdc/both_claim_marks_both_claimed,paladin_votes,authorization_enablement,authorization_state,medium,fail,fail,fail,fail,fail,fail,,fail,fail,fail,fail,fail,11,0,0.0,0.0,0.0,611186.8
paladin_votes/stream_recovery_claim_usdc/both_claim_updates_round_claimed,paladin_votes,protocol_transition_correctness,accounting_update,medium,pass,fail,fail,fail,fail,fail,,fail,fail,fail,fail,fail,11,1,0.0909,0.1,0.2,590569.6
paladin_votes/stream_recovery_claim_usdc/both_claim_updates_total_allocated,paladin_votes,protocol_transition_correctness,accounting_update,medium,fail,fail,fail,fail,fail,fail,,fail,fail,fail,fail,fail,11,0,0.0,0.0,0.0,618162.3
paladin_votes/stream_recovery_claim_usdc/both_claimed_plus_allocated_conserved,paladin_votes,refinement_equivalence,accounting_conservation,hard,fail,fail,fail,fail,fail,fail,,fail,fail,fail,fail,fail,11,0,0.0,0.0,0.0,764418
paladin_votes/stream_recovery_claim_usdc/both_matches_independent_claims,paladin_votes,refinement_equivalence,noninterference,hard,fail,fail,fail,fail,fail,pass,,fail,fail,fail,fail,fail,11,1,0.0909,0.1,0.2,569227.9
paladin_votes/stream_recovery_claim_usdc/both_no_overclaim,paladin_votes,authorization_enablement,accounting_bound,medium,fail,fail,fail,fail,fail,fail,,fail,fail,fail,fail,fail,11,0,0.0,0.0,0.0,696913.2
paladin_votes/stream_recovery_claim_usdc/both_usdc_bound_violation_rejected,paladin_votes,authorization_enablement,accounting_bound,medium,fail,fail,fail,fail,fail,pass,,fail,fail,fail,fail,fail,11,1,0.0909,0.1,0.2,862315.5
paladin_votes/stream_recovery_claim_usdc/both_usdc_double_claim_rejected,paladin_votes,authorization_enablement,authorization_state,medium,fail,fail,pass,fail,fail,pass,,fail,fail,fail,fail,fail,11,2,0.1818,0.2,0.4,562305.5
paladin_votes/stream_recovery_claim_usdc/both_weth_bound_violation_rejected,paladin_votes,authorization_enablement,accounting_bound,hard,fail,fail,fail,fail,fail,fail,,fail,fail,fail,fail,fail,11,0,0.0,0.0,0.0,912781.1
paladin_votes/stream_recovery_claim_usdc/both_weth_double_claim_rejected,paladin_votes,authorization_enablement,authorization_state,hard,fail,fail,fail,fail,fail,pass,,fail,fail,fail,fail,fail,11,1,0.0909,0.1,0.2,558863.1
paladin_votes/stream_recovery_claim_usdc/bound_violation_rejected,paladin_votes,authorization_enablement,accounting_bound,easy,pass,fail,fail,fail,fail,pass,,fail,fail,fail,fail,fail,11,2,0.1818,0.2,0.4,736066.1
paladin_votes/stream_recovery_claim_usdc/claim_marks_user,paladin_votes,authorization_enablement,authorization_state,easy,fail,fail,fail,pass,fail,pass,,fail,fail,fail,fail,pass,11,3,0.2727,0.3,0.6,579042.7
paladin_votes/stream_recovery_claim_usdc/claim_updates_round_claimed,paladin_votes,protocol_transition_correctness,accounting_update,easy,fail,fail,fail,fail,fail,pass,,fail,fail,fail,fail,fail,11,1,0.0909,0.1,0.2,703912.2
paladin_votes/stream_recovery_claim_usdc/claim_updates_total_allocated,paladin_votes,protocol_transition_correctness,accounting_update,easy,pass,fail,fail,fail,fail,pass,,fail,fail,fail,fail,pass,11,3,0.2727,0.3,0.6,588601.4
paladin_votes/stream_recovery_claim_usdc/claimed_plus_allocated_conserved,paladin_votes,refinement_equivalence,accounting_conservation,medium,fail,fail,fail,fail,fail,fail,,fail,fail,fail,fail,fail,11,0,0.0,0.0,0.0,722312
paladin_votes/stream_recovery_claim_usdc/double_claim_rejected,paladin_votes,authorization_enablement,authorization_state,easy,pass,pass,pass,pass,fail,pass,,pass,fail,fail,pass,pass,11,8,0.7273,0.8,0.4,476176.6
paladin_votes/stream_recovery_claim_usdc/no_overclaim,paladin_votes,authorization_enablement,accounting_bound,easy,pass,fail,fail,pass,fail,pass,,fail,fail,fail,fail,pass,11,4,0.3636,0.4,0.8,492275.5
paladin_votes/stream_recovery_claim_usdc/usdc_preserves_weth_state,paladin_votes,state_preservation_local_effects,frame_property,easy,fail,pass,pass,pass,fail,pass,,fail,fail,fail,fail,pass,11,5,0.4545,0.5,1.0,709084.2
paladin_votes/stream_recovery_claim_usdc/weth_bound_violation_rejected,paladin_votes,authorization_enablement,accounting_bound,easy,fail,fail,fail,fail,fail,fail,,fail,fail,fail,fail,fail,11,0,0.0,0.0,0.0,780706.4
paladin_votes/stream_recovery_claim_usdc/weth_claim_marks_user,paladin_votes,authorization_enablement,authorization_state,easy,fail,fail,pass,fail,fail,pass,,fail,fail,fail,fail,pass,11,3,0.2727,0.3,0.6,631513
paladin_votes/stream_recovery_claim_usdc/weth_claim_updates_round_claimed,paladin_votes,protocol_transition_correctness,accounting_update,easy,pass,fail,fail,fail,fail,pass,,fail,fail,fail,fail,pass,11,3,0.2727,0.3,0.6,484445
paladin_votes/stream_recovery_claim_usdc/weth_claim_updates_total_allocated,paladin_votes,protocol_transition_correctness,accounting_update,easy,fail,fail,fail,fail,fail,pass,,fail,fail,fail,fail,fail,11,1,0.0909,0.1,0.2,662239.9
paladin_votes/stream_recovery_claim_usdc/weth_claimed_plus_allocated_conserved,paladin_votes,refinement_equivalence,accounting_conservation,medium,fail,fail,fail,fail,fail,fail,,fail,fail,fail,fail,fail,11,0,0.0,0.0,0.0,749775.5
paladin_votes/stream_recovery_claim_usdc/weth_double_claim_rejected,paladin_votes,authorization_enablement,authorization_state,easy,fail,pass,pass,pass,fail,pass,,fail,fail,fail,pass,pass,11,6,0.5455,0.6,0.8,525220.2
paladin_votes/stream_recovery_claim_usdc/weth_no_overclaim,paladin_votes,authorization_enablement,accounting_bound,easy,fail,fail,fail,fail,fail,pass,,fail,fail,fail,fail,pass,11,2,0.1818,0.2,0.4,902208.9
paladin_votes/stream_recovery_claim_usdc/weth_preserves_usdc_state,paladin_votes,state_preservation_local_effects,frame_property,easy,fail,pass,pass,pass,fail,pass,,pass,fail,fail,fail,pass,11,6,0.5455,0.6,0.8,478066.8
piku/fund_conservation/amount_paid_preserves_fund_conservation,piku,state_preservation_local_effects,accounting_conservation,medium,fail,fail,fail,fail,fail,fail,,fail,fail,fail,fail,fail,11,0,0.0,0.0,0.0,1011822.4
piku/fund_conservation/amount_paid_records_distribution,piku,state_preservation_local_effects,accounting_effect,easy,fail,pass,fail,pass,fail,pass,,fail,fail,fail,fail,pass,11,4,0.3636,0.4,0.8,494411.9
piku/fund_conservation/sell_order_preserves_fund_conservation,piku,state_preservation_local_effects,accounting_conservation,medium,fail,fail,fail,fail,fail,fail,,fail,fail,fail,fail,fail,11,0,0.0,0.0,0.0,955422.5
piku/fund_conservation/sell_order_records_redemption_buckets,piku,state_preservation_local_effects,accounting_effect,easy,fail,fail,fail,fail,fail,pass,,fail,fail,fail,fail,fail,11,1,0.0909,0.1,0.2,676043.3
polaris/bonding_curve/buy_preserves_reserve_ratio_zero,polaris,state_preservation_local_effects,reserve_state_transition,medium,fail,fail,fail,fail,fail,fail,,fail,,fail,fail,fail,10,0,0.0,0.0,0.0,909958.8
polaris/bonding_curve/floor_sell_and_burn_preserves_reserve_ratio_zero,polaris,state_preservation_local_effects,reserve_state_transition,medium,fail,fail,fail,fail,fail,fail,,fail,fail,fail,fail,fail,11,0,0.0,0.0,0.0,760672.7
polaris/bonding_curve/init_reserve_ratio_zero,polaris,state_preservation_local_effects,reserve_state_transition,medium,fail,fail,fail,fail,fail,fail,,fail,fail,fail,fail,fail,11,0,0.0,0.0,0.0,1026113.6
polaris/bonding_curve/sell_preserves_reserve_ratio_zero,polaris,state_preservation_local_effects,reserve_state_transition,medium,fail,fail,fail,fail,fail,fail,,fail,fail,fail,fail,fail,11,0,0.0,0.0,0.0,860737.5
polygon/agglayer_bridge/claimAsset_valid_leaf_and_consumes_unique_nullifier,polygon,state_preservation_local_effects,authorization_state,medium,fail,fail,fail,fail,fail,fail,,fail,fail,fail,fail,fail,11,0,0.0,0.0,0.0,711028.1
polygon/agglayer_bridge/claimMessage_valid_leaf_and_consumes_unique_nullifier,polygon,state_preservation_local_effects,authorization_state,medium,fail,fail,fail,fail,fail,fail,,fail,fail,fail,fail,fail,11,0,0.0,0.0,0.0,701384.7
reserve/auction_price_band/price_at_end_time,reserve,functional_correctness,price_computation,easy,pass,pass,pass,pass,fail,pass,,pass,pass,fail,pass,pass,11,9,0.8182,0.8,0.4,265017.4
reserve/auction_price_band/price_at_start_time,reserve,functional_correctness,price_computation,easy,pass,pass,pass,pass,fail,pass,,pass,fail,fail,pass,pass,11,8,0.7273,0.8,0.4,126089.4
reserve/auction_price_band/price_lower_bound,reserve,functional_correctness,price_band,medium,pass,pass,fail,fail,pass,pass,,pass,fail,fail,pass,pass,11,7,0.6364,0.7,0.6,428957.3
reserve/auction_price_band/price_upper_bound,reserve,functional_correctness,price_band,hard,fail,fail,fail,fail,fail,fail,,fail,fail,fail,fail,fail,11,0,0.0,0.0,0.0,632799.7
rootstock/flyover_quote_lifecycle/deposit_peg_out_registers_required_amount,rootstock,state_preservation_local_effects,lifecycle_accounting,medium,fail,fail,fail,fail,fail,fail,,fail,fail,fail,fail,fail,11,0,0.0,0.0,0.0,584543.7
rootstock/flyover_quote_lifecycle/refund_peg_out_conserves_quote_amount,rootstock,state_preservation_local_effects,lifecycle_accounting,medium,fail,fail,fail,fail,fail,fail,,fail,fail,fail,fail,fail,11,0,0.0,0.0,0.0,683988.7
rootstock/flyover_quote_lifecycle/refund_user_peg_out_conserves_quote_amount,rootstock,state_preservation_local_effects,lifecycle_accounting,medium,fail,fail,fail,fail,fail,fail,,fail,fail,fail,fail,fail,11,0,0.0,0.0,0.0,850844.3
safe/owner_manager_reach/add_owner_acyclicity,safe,state_preservation_local_effects,linked_list_acyclicity,hard,fail,fail,fail,fail,fail,pass,,fail,fail,fail,fail,fail,11,1,0.0909,0.1,0.2,585970
safe/owner_manager_reach/add_owner_is_owner_correctness,safe,functional_correctness,isOwner_effect,medium,fail,fail,fail,fail,fail,fail,,fail,fail,fail,fail,fail,11,0,0.0,0.0,0.0,649221.4
safe/owner_manager_reach/add_owner_owner_list_invariant,safe,state_preservation_local_effects,linked_list_invariant,hard,fail,fail,fail,fail,fail,fail,,fail,fail,fail,fail,fail,11,0,0.0,0.0,0.0,802928.2
safe/owner_manager_reach/in_list_reachable,safe,state_preservation_local_effects,linked_list_invariant,hard,fail,fail,fail,fail,fail,fail,,fail,fail,fail,fail,fail,11,0,0.0,0.0,0.0,721999.5
safe/owner_manager_reach/remove_owner_acyclicity,safe,state_preservation_local_effects,linked_list_acyclicity,hard,fail,pass,fail,fail,fail,pass,,fail,fail,fail,fail,fail,11,2,0.1818,0.2,0.4,630922.9
safe/owner_manager_reach/remove_owner_in_list_reachable,safe,state_preservation_local_effects,linked_list_invariant,hard,fail,fail,fail,fail,fail,fail,,fail,fail,fail,fail,fail,11,0,0.0,0.0,0.0,620683.1
safe/owner_manager_reach/remove_owner_is_owner_correctness,safe,functional_correctness,isOwner_effect,medium,fail,fail,fail,fail,fail,fail,,fail,fail,fail,fail,fail,11,0,0.0,0.0,0.0,830548.2
